country_code,country_name,indicator_code,indicator_name,year,value,log_gdp_per_capita
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2022,5.23916006088257,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2021,5.36734008789062,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2020,5.51600980758667,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2019,5.02757978439331,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2018,4.88401985168457,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2017,4.77830982208252,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2016,4.76321983337402,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2015,4.76157999038696,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2014,4.82582998275757,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2013,4.83911991119385,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2012,4.83153009414673,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2011,4.88583993911743,
DEU,Germany,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2010,4.99525022506714,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2022,3.73649512188829,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2021,4.06524874309096,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2020,4.0905654220699,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2019,4.48086946127054,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2018,5.22011189522399,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2017,5.49905076025271,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2016,5.06151399998447,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2015,4.73791868878759,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2014,4.60201978683472,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2013,4.4985499382019,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2012,5.56677007675171,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2011,5.4857702255249,
ETH,Ethiopia,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2010,4.49659013748169,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2022,4.09865814174589,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2021,4.62949991226196,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2020,4.29335021972656,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2019,3.89732003211975,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2018,4.36374998092651,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2017,4.30543994903565,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2016,4.25406980514526,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2015,4.1145601272583,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2014,3.89878023242693,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2013,3.84467005729675,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2012,3.8675000667572,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2011,3.79618000984192,
IND,India,SE.XPD.TOTL.GD.ZS,"Expenditure on education, total (% of GDP)",2010,3.377690076828,
